,rating,ulasan,label
231,5/5,"Hotel yang sangat strategis / dekat sekali dengan Malioboro, keluhan pelanggan cepat ditanggapi dan diselesaikan, ukuran kamar 36mÂ², cukup untuk keluarga, pelayanan kamar cukup baik, staf ramah dan sopan, serta menerapkan kontrol akses yang aman.",Positif
232,4/5,"Lokasinya Zero Malioboro, paling bagus. Makanan sarapannya oke, ruang makannya masih kecil. Kamar premiere bocor, sedih..kamar family suite luas. Proses check-in buruk, datang lewat jam 3, kamar belum siap semua. Sop buntutnya enak. Wifi lambat. Minibar gratis. Gratis 2 kapsul Nescafe Dolce. Fasilitas lengkap.",Positif
233,5/5,"Keunggulan hotel ini adalah lokasinya yang strategis, tepat di depan Jalan Malioboro dan di samping Malioboro Mall (akses menuju pusat keramaian dapat dicapai dengan berjalan kaki). Resepsi ada di lantai 8 (termasuk kolam renang rooftop, restoran untuk sarapan). Pelayanannya cepat. Minuman selamat datang juga disediakan untuk para tamu selama menunggu proses check-in. Ukuran ruangan cukup luas, dengan tata ruang yang cukup efisien. Terdapat brankas dan kulkas/mini bar (sisi positifnya: makanan ringan gratis dan minuman berwarna gratis). Yang juga menarik pada interior ruangan: kursi anyaman rotan, kursi santai berwarna merah (mungkin catatan tambahan: perlu dicek secara berkala, karena terkesan agak rapuh) dan dinding kamar mandi yang sangat indah.",Positif
234,5/5,"Saat bermalam saya bertemu dengan Mas Firdaus dan saat berbuka puasa dengan teman kantor saya dan juga bertemu kembali dengan Mas Firdaus, saya merasa nyaman dengan pelayanan staf Aveta Hotel Malioboro yang sangat ramah dan membantu. Apalagi dengan Mas Firdaus yang ciri-cirinya membuatku tersenyum??????",Positif
235,5/5,"Hotel ini memiliki banyak poin plus, namun saya juga ingin menyebutkan potensi perbaikannya. Mari kita mulai dengan poin positifnya: Kamar 702 kami sangat luas, cerah, tenang dan bersih. Kamar dilengkapi dengan semua barang yang diperlukan seperti ketel, pengering rambut, brankas, lemari es, dan akses internet. Tidak seperti di hotel lain, wifi sangat kuat. Dua tempat tidur ganda itu sangat besar dan nyaman seperti rumah sendiri. AC berfungsi dan dilengkapi dengan menu yang mudah dipahami. Kelemahan ruangan pastinya pada drainase di kamar mandi. Air menumpuk secara permanen dan Anda harus berhati-hati agar air tidak tumpah dari kamar mandi. Area sarapan di lantai 8 luar biasa. Interiornya didekorasi dengan indah dengan barang-barang asli. Makanan di restorannya enak dan disiapkan dengan murah hati. Stafnya sangat membantu, selalu tersenyum dan sangat ramah. Kami telah menggunakan layanan binatu dan kami sangat senang dengan layanannya. Binatu kembali setelah dua hari dan itu sangat bagus bagi kami. Area kolam renang di puncak gedung terlihat bagus, cukup kecil tetapi kami tidak menggunakannya karena kami ingin menjelajahi kota. Jika Anda bepergian ke Yogyakarta bersama keluarga atau sendirian, tempat ini jelas merupakan salah satu lokasi terbaik. Letaknya di tengah Jalan Malioboro dimana banyak orang menikmati kota, terutama pada malam hari. Jarak ke stasiun kereta dekat. Di sebelahnya terdapat pusat perbelanjaan dengan banyak restoran dan gerai makanan cepat saji serta bar musik live. Apakah saya merekomendasikan hotel ini? Tentu saja ya!Kami ingin mengucapkan terima kasih kepada kru hotel karena telah menjadikan liburan kami pengalaman yang benar-benar luar biasa.",Positif
236,4/5,"Lokasinya dekat dengan Malioboro, the best. Makanan sarapannya oke, ruang makannya masih kecil. Kamar premiere bocor, sedih..kamar family suite luas. Proses check-in buruk, datang lewat jam 3, kamar belum siap semua. Sop buntutnya enak. Wifi lambat. Minibar gratis. Gratis 2 kapsul Nescafe Dolce. Fasilitas lengkap.",Positif
237,5/5,Secara keseluruhan pengalaman bagus. Staf sangat membantu. Memesan kamar quadruple dan kamarnya besar. Ruangan itu bersih dan rapi. Hal yang perlu ditingkatkan: sarapan. Sarapannya dingin dan ada beberapa hal yang perlu ditingkatkan.,Positif
238,4/5,Hotel ini berkualitas sangat tinggi dan kamar tidurnya sangat luas. tempat tidurnya sangat aman untuk tidur dan kamar mandinya sangat bagus dan terawat. Hotel ini sangat direkomendasikan untuk orang yang bepergian ke luar kota atau jalan-jalan. maka menurut saya layanan ini sangat bagus,Positif
239,1/5,Kelebihannya hanya lokasinya di jl. Malioboro. Sisanya tidak sepadan.,Negatif
240,1/5,"Kamar hotelnya oke (bersih selimutnya bau apek, rapi seperti sudah dibersihkan semua, kasurnya enak dibanding tidur di lantai, AC-nya dingin) Toiletnya oke (bersih, banyak noda kotor dimana-mana, modern) dengan sabun dan shampo yang bagus, menu sarapannya enak dan banyak pilihan, hanya pelayanan resepsionisnya yang terlalu kaku, tidak ramah seperti robot, kalau ngomong pakai masker sebaiknya pelan-pelan karena tidak paham apa yang dibicarakan jadi seperti itu kami berkumur. Yang jelas pelayanan dari seluruh pekerjanya sangat buruk sikapnya. Tarif harganya terlalu mahal, mungkin karena ini akhir pekan dan anak-anak sedang libur sekolah. Hotel ini layak mendapat penghargaan sebagai hotel dengan pelayanan terburuk (bad service).",Positif
241,5/5,"Lokasi hotel sangat strategis, makanannya juga variatif, pelayanannya ramah, terima kasih Pak Noval dan Bu Silvia sudah banyak membantu?",Positif
242,5/5,"Kamar bersih, tempat tidur bersih, kamar mandi bersih, air panas lancar. Jalan masuk hotel sempit, kalau lewat mobil harus bergantian. Parkir di dalam cukup luas. Pilihan sarapan cukup bervariasi. Resepsionisnya ada di lantai 8. Jadi kalau mau check-in harus naik lift dulu ke lantai 8. Pelayanan yang ramah.",Positif
243,5/5,"Saya baru saja mengunjungi seorang teman yang menginap di hotel ini. Hotelnya bagus. Paling tidak, usahakan ada lobi atau ruang kumpul yang tidak bising dengan nyanyian.????",Positif
244,5/5,"Letaknya tepat di Jalan Malioboro. Lebih mudah untuk keluar dari hotel menuju pasar dan pusat perbelanjaan. Kamarnya bersih, dan tempat tidurnya nyaman. Layanan binatu juga bagus dengan biaya masuk akal. Sangat direkomendasikan untuk menginap di sini. Satu-satunya kendala adalah Jalan Malioboro ditutup untuk kendaraan mulai pukul 18.00 hingga 21.00, sehingga akan memakan waktu lebih lama untuk sampai ke hotel jika kembali pada waktu tersebut. Sangat direkomendasikan untuk menginap disini jika berwisata ke jogja.",Positif
245,5/5,"Lokasinya berada di tengah Malioboro. Keluar hotel, pemandangan khas Malioboro tersaji, pelayanannya juga ramah",Positif
246,4/5,"Overall mantap banget, saya menginap di ruang keluarga, kamarnya bagus dan luas. Sarapannya bervariasi, seperti hotel bintang 4 atau bintang 5. Kolam renangnya bagus, namun tempat parkirnya agak sulit karena masuk gang. Lobinya sempit jadi kalau ramai mungkin agak ribet. Saya pikir minuman selamat datangnya adalah kopi dari kafe tetapi wedang uwuhnya dingin juga??",Positif
247,4/5,"Hotelnya lucu karena resepsionisnya di lantai 8, ada kolam renang di rooftop dengan pemandangan yang sangat indah. Ada juga fasilitas membuat kopi instan. Ada balkon untuk bersantai dan minum kopi. Tidak ada hotel merokok. Pilihan menu sarapannya ada beberapa dan ada kafe Kala dengan view langsung Malioboro. Direkomendasikan.",Positif
248,1/5,"Saya ambil kamar superior seharga 800 ribu semalam, dan diperpanjang 5 hari di kamar 505. Proses check-innya menegangkan, karena saya bilang nama suami saya tidak ada di data CS, selang beberapa saat ternyata ada satu, okelah. Kuncinya harus dipakai untuk deposit 200 ya? Aku pergi ke kamar untuk menaruh koperku. Saya balik lagi ke CS untuk minta kunci tambahan, minta deposit lagi 200. Saya konfirmasi kok dapat yang satu, masih ada masa deposit lagi, CS yang berinisial R mengira saya ingin kunci ketiga padahal kuncinya cuma satu, tapi akhirnya tidak melakukan deposit kedua, tidak apa-apa. Sesampainya di kamar saya menghubungi CS, meminta saya membersihkan kamar, saya maunya lewat telepon saja. Kemudian sore kedua saya keluar sebentar, yang mengejutkan saya, kamar saya sangat bersih. Senang sekali tim housekeeping hotel bisa menyelinap ke kamar orang sesuka hati. Saya tidak memasang ""ruang rias"", lho. Saya ditemui oleh manajer FO dan diberi sejumlah kompensasi. Bayangkan diperpanjang 5 hari, uang yang sudah masuk tidak bisa ditarik, lho kok sore kedua saya dapat kejutan istimewa. Tingkat kebersihan Hotel Av3ta sungguh luar biasa bukan? Semoga pihak-pihak terkait dapat menemukan jalan yang benar dan tidak tersesat lagi.",Negatif
249,5/5,"Terima kasih atas pelayanan dan pelayanan di Aveta Hotel Malioboro, sangat memuaskan. Lokasinya juga strategis, dekat kemana-mana. Kalau mau belanja di kawasan Malioboro tinggal jalan kaki saja. Stafnya ramah dan sangat sigap dalam melayani dan jika ada masalah di dalam kamar. Semoga kami bisa kembali kesini lagi.",Positif
250,4/5,"Kamar bersih, tempat tidur bersih, kamar mandi bersih, air panas lancar. Jalan masuk hotel sempit, kalau lewat mobil harus bergantian. Parkir di dalam cukup luas. Pilihan sarapan cukup bervariasi.",Positif
251,5/5,"Kesan pertama: WANGIII!! ?? Tiap ganti kamar wanginya beda-beda dan bikin betah. Tempatnya sangat strategis tepat di sebelah Malioboro Mall, terdapat kolam renang yang estetis apalagi di malam hari. Menyarankan!!",Positif
252,5/5,"Lokasi cukup strategis, hotel bersih dan nyaman. Fasilitas cukup lengkap dan berfungsi dengan baik, terdapat juga restoran dan kolam renang. Kamar bersih dan nyaman, air panas berfungsi normal.. Pegawainya ramah..",Positif
253,5/5,"Housekeepingnya semakin ditingkatkan karena hanya membuat kasur dan menambah fasilitas. dan kalau bisa balkonnya bisa dijadikan ruang merokok, jadi gak perlu keluar kamar dan turun ke bawah untuk merokok??",Positif
254,5/5,"Lokasi sangat strategis depan Jalan Malioboro dan dilengkapi dengan berbagai fasilitas terutama kolam renang untuk melepas penat bagi yang baru melalui perjalanan jauh dan melelahkan.. bangunannya juga sangat bagus.. Sangat cocok untuk tempat menginap bersama keluarga apalagi jika mempunyai anak. Pelayanannya juga ramah banget"". Sarapannya enak""..",Positif
255,5/5,"Hotelnya strategis, pelayanannya sangat baik dan ramah, makanannya enak, resepsionisnya cantik dan ganteng""?? Recomended banget",Positif
256,3/5,"Pelayanan check-in agak lama, padahal kami sudah siap check-in dari jam setengah 2, kami baru bisa masuk kamar setelah menunggu lebih dari setengah jam. Kolam renangnya nyaman dan disukai anak-anak, hanya saja karena bersebelahan dengan food lounge, kursi tenda sering digunakan untuk merokok. Sampah makanan dan minuman serta puntung rokok tidak segera dibersihkan sehingga terlihat kotor. Tidak ada keluhan tentang kamar, bersih dan rapi. Oh iya, showernya bocor, jadi pas dipakai untuk mandi airnya terciprat kemana-mana sampai keluar dari kamar mandi",Positif
257,5/5,"Hotel ini menawarkan kamar yang bersih, nyaman, dan dilengkapi dengan fasilitas modern seperti TV layar datar, AC, dan kamar mandi pribadi dengan shower. Hotel ini juga menyediakan fasilitas seperti restoran, bar, kolam renang, dan pusat kebugaran untuk memenuhi kebutuhan para tamu. Staf hotel yang ramah dan profesional siap membantu segala kebutuhan tamu selama menginap di hotel.",Positif
258,4/5,"Pertama kali mencoba menginap disini, 2 malam. Dari tempatnya tepatnya di Jalan Malioboro, hanya saja kalau bawa kendaraan parkirnya di gang kecil jadi harus hati-hati. Lobbynya ada di lantai 8, tidak terlalu besar jadi kalau masih nunggu bisa ke lantai 1 yang ada restonya. Pelayanannya cukup baik dan ramah, dengan harga yang lebih mahal dari kamar sebelah karena tidak mendapat sarapan di kamar biasa. Ditambah lagi, kamar memiliki balkon sehingga Anda bisa sedikit mengintip Malioboro yang ramai dari balkon kamar. Fasilitas standar hotel bintang 3, dengan kolam renang di rooftop. Harga makanannya relatif murah dibandingkan dengan yang lain dengan rasa yang cukup enak. Kalau kamarnya nyaman tapi masih kurang bersih di kasur dan sedikit di kamar mandi. Dapat ditingkatkan lebih lanjut. Skor keseluruhan 8 dari 10. Lain kali coba yang keluarga kalau ramai biar dapat balkon langsung menghadap Malioboro.",Positif
259,5/5,"Semuanya bagus dan bagus!! Lokasi, makanan, pelayanan.. Sangat membantu juga... Staf yang ramah.. Akan merekomendasikan hotel ini kepada orang lain... Menginap lama atau pendek sangat direkomendasikan.. Pasti akan menginap di sini lagi.. Terima kasih banyak Aveta, salam hangat dari Malaysia",Positif
260,5/5,"Terletak di Jalan Malioboro, jalan tersibuk di Yogyakarta, memudahkan Anda berjalan-jalan di sekitar Jalan Maliboro. Mereka memberi Anda 10 pakaian gratis untuk dicuci, sekeranjang buah gratis, dan beberapa makanan ringan jika Anda menginap di sana setidaknya 5 malam berturut-turut.",Positif
261,3/5,"Htl beside Jalan Malioboro, so you can walk directly to Jalan Malioboro.",Positif
262,5/5,"Sekadar saran, di kamar mandi mungkin Anda bisa menyediakan gantungan baju atau handuk untuk memudahkan menyimpan pakaian atau handuk di kamar mandi. Overall fasilitas dan pelayanannya bagus banget",Positif
263,4/5,"Kamarnya ok, cukup luas dan lokasinya strategis, sarapannya kurang padahal variannya banyak, bisa pinjam setrika gratis, lembahnya penuh pelayan",Positif
264,5/5,"Letak hotelnya strategis, pelayanannya bagus, kamarnya cukup bersih. Senang tinggal di sini bersama keluarga. Terima kasih, kami akan kembali.",Positif
265,5/5,"Tempatnya sangat nyaman dan strategis, dekat jalan raya, dengan fasilitas kolam renang. Air panasnya juga lancar, lain kali saya akan terus menginap disini. Terus pertahankan Aveta Hotel untuk pelayanan dan kenyamanan pelanggan nomor 1??",Positif
266,5/5,"Terletak di jantung kota Jogja, sebelah selatan mal Malioboro. Sebuah hotel yang unik. Masih terjangkau... Setiap orang yang baru pertama kali datang pasti bertanya-tanya di mana letak resepsionisnya. Masyarakatnya sangat membantu. Kalau minta tolong, responnya cepat. Kamarnya luas, pilihan menonton TV cukup. Potongan buah dan kue gratis saat Anda masuk. Makanan ringan dan minuman ringan gratis juga tersedia di kamar dan akan diisi ulang jika habis.",Positif
267,5/5,Salah satu hotel bintang 3 dengan pelayanan kelas bintang 5. Stafnya sangat ramah dan terampil. Dan kebersihannya sangat terjaga. Menu sarapannya cukup variatif dan enak. Hotel ini cocok dijadikan rekomendasi menginap jika ingin mendapatkan tempat terbaik di Jalan Malioboro. Lokasi sangat strategis dan dekat dengan pasar Bringharjo serta dekat dengan teras Malioboro. Terus menjaga dan meningkatkan kualitas pelayanan di Hotel Aveta.,Positif
268,5/5,"Saat bertemu dengan Mas Firdaus, saya merasa nyaman dengan pelayanan staff Aveta Hotel Malioboro karena sangat ramah dan sopan dan saya sangat terbantu dengan Mas Firdaus yang melayani saya selama di Aveta Hotel Malioboro.. terima kasih Mas Firdaus sampai jumpa di liburan berikutnya????",Positif
269,5/5,"Pengalaman menginap di Hotel Aveta luar biasa, sarapannya bervariasi dan enak, hanya saja saya mendapat kamar yang tidak ada pemandangan luar. padahal aku sudah memintanya sejak lama, tidak apa-apa",Positif
270,5/5,"Hotel yang cukup megah, kamar bersih bergaya modern. Puas disini, lokasinya juga bagus, di sekitar banyak pertokoan, jadi bagi yang mau berhemat, keluar saja dan banyak jajanan pinggir jalan.",Positif
271,5/5,"Letak hotelnya strategis jadi gak bingung mau kemana-kemana dan aksesnya mudah, kamarnya bersih, wangi dan yang pasti nyaman untuk istirahat, makanan di hotel juga enak, pasti kangen dengan makanan disini. Topp untuk Aveta Hotel",Positif
272,3/5,"Untuk harga segini kurang banget,* satpamnya kurang cekatan saat ada tamu yang keluar masuk,* resepsionisnya ada di lantai 8, sedangkan untuk Welcome Drinknya di lantai 1, sayang sekali karena harus bolak-balik. Ya, bagi yang beragama Islam. pas kamar sudah siap, tapi gak mau, mau nunggu di lantai 1 baru kunci diantar ke lantai 1. Semoga kedepannya bisa lebih baik lagi.",Negatif
273,5/5,"Lumayan lah untuk hotel bintang 3. Kamar terasa baru, ada balkon kecil, makanan oke, lokasi strategis. Hanya pada malam hari agak sulit akses bagi yang keluar menggunakan mobil/motor karena Jalan Malioboro tertutup untuk motor/mobil, mau tidak mau dari belakang",Positif
274,5/5,"Hotel Bintang 3 tapi berasa Bintang 5. Saya sangat senang dengan pelayanan yang ramah, tepat dan cepat, kebersihan kamar yang baik, serta menu makanan yang enak dan bervariasi. Lokasi sangat strategis depan Jl. Malioboro bersebelahan dengan Mall dan tempat wisata lainnya. Sangat merekomendasikan menginap di Aveta.",Positif
275,2/5,"Lokasi strategis, pegawai semua ramah dan sangat membantu.., menginap dua malam di executive family room lantai 2, sebenarnya kamarnya nyaman tapi terganggu banget sama suara mesin atau apa namanya, entah apa namanya, bunyinya bunyi bip dan dengungan terus menerus, siang malam, mungkin karena kamar paling ujung, tapi sampai tengah malam mengganggu banget dan suaranya terus apalagi kalau malam pasti kedengaran lebih keras",Positif
276,5/5,"Resepsionisnya ada di lantai 8. Pintu masuknya bisa lewat pintu kafe depan atau pintu belakang lewat gang samping. Parkir mobil dan motor lewat gang sisi selatan hotel. Sepeda motornya terjatuh. Mobil sejajar dengan bagian depan lobi. Di samping hotel banyak penjual makanan. Dekat dengan minimarket seperti indomaret dan alfamart, dekat apotek. ????",Positif
277,4/5,"Hotelnya terletak tepat di jalan Malioboro, jadi lokasinya sangat strategis, kamarnya bagus, kebersihannya juga oke. Hanya saja parkir mobilnya agak susah, tempat parkirnya kecil dan sempit. Dan kebetulan saya pesan kamar executive untuk 2 malam, hari saya datang ada free minibar, di hari kedua tidak disediakan. Dan di hari pertama ada 2 handuk besar, ada 2 handuk muka, tapi di hari kedua tidak ada handuk muka. Rasa makanan di restoran itu biasa saja. Tapi secara keseluruhan masih oke.",Negatif
278,5/5,"Hal pertama yang saya lihat adalah lokasinya yang sangat strategis, bersebelahan dengan Malioboro Mall di tengah pusat kota Yogyakarta. Parkir juga dekat di bawah hotel. Fasilitas cukup lengkap dan berfungsi dengan baik, terdapat juga restoran dan kolam renang. Untuk kamar bersih dan nyaman, air panas berfungsi normal.",Positif
279,5/5,Saya menghabiskan tiga hari di hotel ini untuk rapat perusahaan pada bulan Mei. Ruang pertemuannya standar dan tidak terlalu luas. Jajanannya biasa saja tapi makanan untuk makan siang dan makan malamnya enak dan banyak variasinya. Anak-anak menyukai kolam renang.,Positif
280,4/5,"Kamar oke, nyaman dan luas. Kolam renangnya juga oke, pelayanannya ramah, nyaman juga kalau mau reservasi untuk rapat. Dekat juga dengan mall, walaupun jalannya agak sempit, tapi okelah karena saya tidak punya mobil.",Positif
281,2/5,"Unggul di lokasi, hotel baru, pelayanan standar, kamar ada balkonnya tapi terkunci, niatnya pilih menginap karena bisa lihat Malioboro, tapi malah tidak terlihat apa pun dari kamar. Hubungi resepsionis, tidak ada solusi. Katanya karena sharing jadi tidak dibuka, padahal sampai besok tidak ada yang diisi, kaget banget. Toilet untuk toilet anak susah, tidak ada keran hanya shower langsung, harga terlalu mahal, masih banyak yang bintang 3 disekitar sana yang lebih worth it.",Negatif
282,5/5,"Hotel bagus, lokasi strategis, kamar juga oke.. tapi masalahnya di toilet tidak ada shower bidet untuk toiletnya.. mohon dipasang keran di kamar mandi agar memudahkan berwudhu.. terima kasih??????",Negatif
283,5/5,"Kamarnya bersih dan luas untuk tipe family quadriple, lokasi tepat di samping mall dan pinggir jalan Malioboro, sarapannya lengkap, terima kasih.",Positif
284,4/5,Lokasi bagus karena berada di pusat Malioboro. Banyak toko dan makanan di sekitar area tersebut. Semua baik-baik saja tetapi jika memungkinkan sediakan handuk ekstra kecil seperti handuk muka. Sarapannya bervariasi tetapi tidak terlalu enak.,Positif
285,5/5,"Tempatnya bersih, nyaman dan fasilitasnya sangat baik, serta lokasi hotel cukup strategis di pusat Malioboro",Positif
286,5/5,"Kamarnya bersih dan rapi. Lokasinya strategis, dengan pemandangan dan fasilitas yang sangat sepadan dengan uang yang kita keluarkan. Akses mudah keluar masuk hotel. Sukses terus di Aveta Hotel Malioboro?",Positif
287,5/5,"Hotelnya recomended banget, apalagi letaknya tepat di Jalan Malioboro, dan kamu bisa dikejutkan oleh staf hotelnya dengan memberikan goodie bag ???? padahal ini pertama kalinya aku menginap disini.. Terima kasih Aveta ????",Positif
288,3/5,"Memberikan tambahan waktu check out 1 jam untuk tamu menunggu dijemput membuat tamu semakin nyaman terutama yang membawa anak-anak...minimal c/o jam 12, max jam 1...tidak ada jam dinding di kamar...",Positif
289,5/5,"Pegawai aveta semua ramah, apalagi pas check out gak sadar hp anakku ketinggalan di kamar hotel, sore itu aku langsung ditelepon dan disuruh jemput, tapi aku sudah keluar jogja dan aku minta dikirim via paket, lalu langsung dikirim keesokan harinya, dan hp sudah sampai di surabaya. Saya akan kembali lagi jika berlibur ke Jogja karena lokasi hotel sangat strategis di sebelah Malioboro Mall. Sukses terus Aveta kalau ada 10 bintang saya kasih hehehe",Positif
290,5/5,"Untuk kisaran harga, ini adalah salah satu hotel ternyaman yang pernah saya kunjungi. Kamarnya sangat nyaman, jacuzzinya lucu dan kolam renangnya bersih. Bagian terbaiknya adalah kafetaria yang nyaman dan memiliki desain yang unik.",Positif
291,5/5,"Kamarnya bagus. Hotelnya juga bagus. Pesan kamar Family Quadruple dengan ruangan besar. Cukup besar dengan keluarga. Lokasinya juga persis di sepanjang Malioboro, jadi kalau mau keluar tinggal jalan kaki saja, dekat banget.",Positif
292,5/5,"Hotelnya bagus. Tempatnya juga strategis. Dekat sekali dengan stasiun Tugu, jadi cukup berjalan kaki dari stasiun sambil menikmati jajanan di pinggir jalan. Keluar malam untuk menikmati kuliner juga dekat. Jadi kamu bisa menikmati suasana malam Jogja tanpa takut jauh",Positif
293,5/5,"Hotelnya bersebelahan dengan mal Malioboro, cocok jika tidak ingin bepergian jauh. Kamarnya oke, water heaternya juga lancar. Minusnya, akses menuju hotel sempit. Menurutku lucu karena resepsinya ada di lantai 8. Jadi kalau mau check in harus naik lift dulu",Positif
294,5/5,"Pertama Kali Menginap di Aveta Malioboro Disambut oleh security yang membantu, dan yang mengejutkan lobi berada di lantai 8. Resepsionis ramah Ibu Lia & Via terima kasih atas bantuannya. Makanannya enak, variatif & di kamar ada minibar gratis.",Positif
295,5/5,"Hotel ini sangat strategis karena berada di pusat kota jogja, sebelah selatan mal Malioboro. Hotel ini sangat unik karena harus masuk melalui Kala Jumpa Cafe, karena resepsionisnya terletak di lantai 8, depan kolam renang dan Sky Lounge. Kamar sangat nyaman untuk istirahat dan pelayanan hotel juga sangat baik dan tidak mengecewakan",Positif
296,5/5,"Saya menginap disana dan mendapat pelayanan yang memuaskan, kamarnya bersih, disediakan minibar, lokasi sangat strategis karena dekat sekali dengan Malioboro!!",Positif
297,5/5,"Mendapat pengalaman hebat di aveta. Pelayanannya ramah dan proses check-innya juga cepat, kamarnya juga bersih dan tertata rapi, tapi sayang kemarin balkonnya dikunci. Untuk sarapannya banyak macamnya dan rasanya juga enak, dari yang tradisional sampai yang western. Next saya akan menginap disini lagi.",Positif
298,5/5,"Layanan terbaik. Semua staf sangat membantu dan ramah (keamanan, meja depan, rumah tangga, dan bahkan teknik). Setiap kali saya mempunyai pertanyaan atau masalah, mereka semua menyelesaikannya dengan sangat cepat dan ini benar-benar mengejutkan saya karena saya tidak terlalu mengharapkan pengalaman tamu tingkat tinggi seperti ini. Beberapa di antaranya bahkan melampaui batasnya. Selamat kepada semua orang di sini di Aveta. Saya menginap di kamar Deluxe Balkon. Ruangannya sendiri bersih dan cukup besar. Saya suka interior ruangan. Mereka bahkan memberi kami makanan ringan dan minuman ringan gratis, yang sangat langka saat ini. Sarapannya enak, banyak pilihan. Yang terbaik dari semuanya adalah lokasinya. Terletak tepat di jantung Malioboro.  Saya pasti akan kembali ke hotel ini pada kunjungan berikutnya ke Jogja.",Positif
299,4/5,Tempatnya cukup bagus dan strategis dekat Malioboro tapi saya kurang suka dengan kamar mandinya karena tidak ada keran atau shower sehingga cukup sulit untuk berwudhu,Negatif
300,5/5,"Hotelnya sangat strategis. Kalau mau ke Maliboro, langsung di depan lobi hotel. Penerimaan sangat ramah dan membantu. Pelayanannya oke banget. Saya yakin saya akan kembali ke hotel ini lagi",Positif
301,4/5,"Keramahan adalah nilai tertinggi!! Suka banget sama krunya, terima kasih sudah membantu dan ramah menyambut kami <3 kamarnya luas untuk 4 orang, tapi kamar mandinya tidak..hmm, agak repot apalagi untuk wudhu, karena hanya tersedia shower besar/tengah (yang di atas kepala), hampir membuat kami basah kuyup sehingga harus ekstra hati-hati. Tapi semuanya luar biasa ????",Positif
302,5/5,"Saya memilih hotel ini karena letaknya yang sangat strategis dari pusat kota yogyakarta, selain itu hotel ini mempunyai fasilitas yang baik dan harganya juga masuk akal, pelayanannya baik, terutama Mas Firdaus yang ramah dan sigap membantu saya saat check in dan check out serta saat saya bertanya tentang pariwisata di Yogyakarta.",Positif
303,5/5,"Hotel Aceta sangat strategis di jantung kota Yogya tepat di Jalan Malioboro, bahkan tepat di sebelah Malioboro Mall. Pagi sampai tengah malam anda bisa menikmati suasana Malioboro dari dalam kamar dengan memilih kamar yang ada balkonnya, tentunya harganya sedikit lebih mahal tanpa balkon. Bagian penerima tamu berada di lantai 8, sedangkan lantai dasar merupakan area restoran/kopi. Kamar sangat bersih, staf responsif dan sigap, makanan memadai standar hotel berbintang, dan kualitas wifi cukup kencang. Layanan TVnya hanya saluran nasional, sebenarnya tidak perlu banyak-banyak menonton, karena sayang jika melewatkan suasana Malioboro. Kolam renangnya cukup. Sarapan ada di lantai 8 dengan pemandangan luar yang unik, Jalan Malioboro terlihat dari ketinggian. Keluar dari hotel, Anda bisa langsung menyusuri seluruh jalanan Malioboro yang ramai, yang pada waktu-waktu tertentu di sore hari mulai pukul 18.00 hingga pukul 21.00 WIB ditutup untuk kendaraan bermotor, sehingga Anda bisa berjalan kaki sepuasnya, berfoto dan menikmati suasana jalanan legendaris di Jogja. Makanannya semua tersedia dengan harga terjangkau, rasanya juga unik, dan alternatif kopi di Malioboro Mall menambah suasana.",Positif
304,5/5,"Terima kasih kepada resepsionisnya mas Firdaus, Mba Lia, Mas Noval, informatif sekali. Untuk fasilitas hotel lengkap dan nyaman dekat Malioboro Mall, staff dan securitynya ramah. Sarapannya enak. Direkomendasikan Hotel Aventa. Terima kasih??",Positif
305,4/5,"Saya sudah berkali-kali ke Jogja dan menginap di Hotel Aveta, tapi... Aaahh kecewa dengan pelayanan parkirnya, padahal hotelnya bagus, strategis, pegawainya ramah, makanannya enak, tapi untuk liburan kali ini saya kecewa dengan pelayanan parkirnya. Yang jelas di kartu parkirnya ada plat nomornya, saya ditanya asli atau tidak, padahal di kartu parkirnya juga dicantumkan oleh pihak hotel. Toh mobil yang diambil itu bukan milik kita, itu mobil orang lain, apa kamu tidak melihat plat nomor di kartu parkir?",Negatif
306,2/5,"Kamar cukup bagus dan bersih, lokasi strategis, sayangnya pelayanan sangat buruk, apalagi checkin lama. SOPnya harus selalu diupdate, jadi tidak perlu menunggu lama untuk mendapatkan kamar dan harus ada kompensasi yang memadai juga.",Positif
307,5/5,"Hotel yang strategis di tengah malioboro, hotelnya bersih dan juga hotel bintang 3 yang bagus dengan nuansa bintang 5. Pelayanan resepsionis atas nama Silvia dan Aulia cepat dan ramah.",Positif
308,5/5,"Ini akomodasi pertama tanggal 29 Mei 2022 (satu malam), cari resepsionis di lantai paling atas yang baik dan ramah. Kamar cukup luas dan bersih, pemandangan gang dan samping malioboro mall terlihat, tempat tidurnya besar dan nyaman, ada meja dan kursi kerja di dekat televisi dengan saluran yang cukup lengkap, lemari dingin, ada snack dan minuman gratis, wifi cukup bagus dan kencang, kamar mandi bersih dan perlengkapan mandi cukup lengkap. Menu sarapannya cukup banyak pilihan enak dan ruang makannya luas serta pelayanannya ramah. Hotel yang lengkap memiliki kolam renang yang cukup kecil. Tempat parkir cukup kecil dan aman dan di luar hotel bersebelahan dengan kawasan perbelanjaan Malioboro Mall dan depannya sepanjang Jalan Malioboro.",Positif
309,5/5,"Lokasi strategis, mudah dijangkau, & parkir mudah. Kamarnya bersih, rapi & nyaman. Pelayanannya ramah. Recomended buat yang mau liburan bareng keluarga/teman.",Positif
